vacancy_name,vacancy_reference,employer,employer_reference,location,service,min_salary,max_salary,vacancy_currency
Senior Data Scientist (Recommender Systems),https://hhcdn.ru/click?b=225320&place=35,FUNCORP,https://hh.ru/employer/1212374,Москва,HeadHunter,220000.0,300000.0,руб.
Программист-разработчик AI / Data scientist / NLP Developer (Обработка естественного языка),https://yaroslavl.hh.ru/vacancy/46085998?from=vacancy_search_list&query=data%20scientist,Clever Technology,https://hh.ru/employer/597191,Краснодар,HeadHunter,100000.0,150000.0,руб.
Data Scientist,https://yaroslavl.hh.ru/vacancy/46079759?from=vacancy_search_list&query=data%20scientist,B2Broker Москва,https://hh.ru/employer/2234168?dpt=2234168-2234168-msk,"Москва, Выставочная и еще 2 ",HeadHunter,,,
Data Scientist,https://yaroslavl.hh.ru/vacancy/46825108?from=vacancy_search_list&query=data%20scientist,COMTEK Inc.,https://hh.ru/employer/250,Москва,HeadHunter,3000.0,5000.0,USD
ML инженер / Data scientist,https://yaroslavl.hh.ru/vacancy/46754459?from=vacancy_search_list&query=data%20scientist,ООО КИБЕР-РОМ,https://hh.ru/employer/5599143,Москва,HeadHunter,250000.0,350000.0,руб.
Data scientist | Специалист по машинному обучению (junior/middle),https://yaroslavl.hh.ru/vacancy/46702571?from=vacancy_search_list&query=data%20scientist,ООО ВИИРОУТЕ,https://hh.ru/employer/2140704,"Санкт-Петербург, Василеостровская",HeadHunter,,,
Data Scientist,https://yaroslavl.hh.ru/vacancy/46408491?from=vacancy_search_list&query=data%20scientist,ООО МПК (Призыванет.Ру),https://hh.ru/employer/1056050,Москва,HeadHunter,180000.0,220000.0,руб.
Специалист Computer Vision (Senior Data Scientist),https://yaroslavl.hh.ru/vacancy/46590676?from=vacancy_search_list&query=data%20scientist,ООО Медицинские Скрининг Системы,https://hh.ru/employer/4588942,Санкт-Петербург,HeadHunter,180000.0,300000.0,руб.
Senior Data Scientist,https://yaroslavl.hh.ru/vacancy/46732109?from=vacancy_search_list&query=data%20scientist,ООО Виго Лаб,https://hh.ru/employer/2283197,"Санкт-Петербург, Петроградская",HeadHunter,220000.0,320000.0,руб.
Data Scientist,https://yaroslavl.hh.ru/vacancy/44350010?from=vacancy_search_list&query=data%20scientist,Точка,https://hh.ru/employer/2324020,Екатеринбург,HeadHunter,100000.0,250000.0,руб.
Аналитик данных / Data scientist,https://yaroslavl.hh.ru/vacancy/46750731?from=vacancy_search_list&query=data%20scientist,ООО Мотифай,https://hh.ru/employer/4392435,Санкт-Петербург,HeadHunter,,,
Data Scientist (Junior/mid),https://yaroslavl.hh.ru/vacancy/46752727?from=vacancy_search_list&query=data%20scientist,SberTech,https://hh.ru/employer/906557,Москва,HeadHunter,,,
Junior Data Scientist,https://yaroslavl.hh.ru/vacancy/46666238?from=vacancy_search_list&query=data%20scientist,ООО Займиго МФК,https://hh.ru/employer/1457854,"Нижний Новгород, Горьковская",HeadHunter,40000.0,80000.0,руб.
Data Scientist,https://yaroslavl.hh.ru/vacancy/46841207?from=vacancy_search_list&query=data%20scientist,Uchi.ru,https://hh.ru/employer/1046098,"Москва, Улица 1905 года",HeadHunter,,,
Data Scientist,https://yaroslavl.hh.ru/vacancy/45191074?from=vacancy_search_list&query=data%20scientist,Точка,https://hh.ru/employer/2324020,Москва,HeadHunter,,300000.0,руб.
Lead NLP Data Scientist,https://yaroslavl.hh.ru/vacancy/46834296?from=vacancy_search_list&query=data%20scientist,Anchous Drive Recruitment,https://hh.ru/employer/3239351,"Москва, Баррикадная и еще 2 ",HeadHunter,350000.0,,руб.
Junior Data Scientist,https://yaroslavl.hh.ru/vacancy/46498704?from=vacancy_search_list&query=data%20scientist,ООО Retail Rocket,https://hh.ru/employer/2887273,"Москва, Сокол",HeadHunter,,,
Стажёр Data Scientist (Группа управления данными/ Ozon Express),https://yaroslavl.hh.ru/vacancy/46814781?from=vacancy_search_list&query=data%20scientist,Ozon Express,https://hh.ru/employer/2180?dpt=ozonru-2180-express,"Москва, Деловой центр и еще 2 ",HeadHunter,,,
Data Scientist,https://yaroslavl.hh.ru/vacancy/46539765?from=vacancy_search_list&query=data%20scientist,ООО Артистраж,https://hh.ru/employer/4948337,Москва,HeadHunter,60000.0,200000.0,руб.
Data Scientist (middle or senior),https://yaroslavl.hh.ru/vacancy/42956307?from=vacancy_search_list&query=data%20scientist,ООО РАБЛЗ,https://hh.ru/employer/2223982,Москва,HeadHunter,,500000.0,руб.
Data Scientist,https://yaroslavl.hh.ru/vacancy/46812630?from=vacancy_search_list&query=data%20scientist,Сбер для экспертов,https://hh.ru/employer/3529?dpt=3529-3529-prof,Москва,HeadHunter,,,
Senior Data Scientist (CV&NLP),https://yaroslavl.hh.ru/vacancy/46848317?from=vacancy_search_list&query=data%20scientist,Билайн,https://hh.ru/employer/4934,Москва,HeadHunter,,,
Data Scientist / Аналитик больших данных,https://yaroslavl.hh.ru/vacancy/46458560?from=vacancy_search_list&query=data%20scientist,МедиаНация,https://hh.ru/employer/584898,"Москва, Полянка и еще 1 ",HeadHunter,,,
Data Scientist (IT),https://yaroslavl.hh.ru/vacancy/46856725?from=vacancy_search_list&query=data%20scientist,IT-спеціаліст,https://hh.ru/employer/19887?dpt=19887-19887-it,Киев,HeadHunter,,,
